x                 wf_exact_0        wf_0_b=0.9,dim=1
 6.80320000e+00    2.22043353e-03    1.12484784e-08   -3.10351667e-08    6.09098908e-08   -7.01286805e-08    9.85790259e-08
 6.90310000e+00    2.00933226e-03    5.46200770e-09   -1.50371274e-08    2.96030832e-08   -3.41333640e-08    4.81889151e-08
 7.00300000e+00    1.81830084e-03    2.61470590e-09   -7.18328762e-09    1.41829922e-08   -1.63759432e-08    2.32147199e-08
 7.10290000e+00    1.64543117e-03    1.23404689e-09   -3.38340443e-09    6.69899523e-09   -7.74478660e-09    1.10222792e-08
 7.20280000e+00    1.48899658e-03    5.74253722e-10   -1.57137710e-09    3.11953556e-09   -3.61092758e-09    5.15830151e-09
 7.30270000e+00    1.34743456e-03    2.63489459e-10   -7.19656519e-10    1.43230287e-09   -1.65982736e-09    2.37959466e-09
 7.40260000e+00    1.21933114e-03    1.19215522e-10   -3.25019888e-10    6.48439258e-10   -7.52261740e-10    1.08216093e-09
 7.50250000e+00    1.10340677e-03    5.31905340e-11   -1.44762133e-10    2.89478900e-10   -3.36172833e-10    4.85180335e-10
 7.60240000e+00    9.98503580e-04    2.34039294e-11   -6.35887117e-11    1.27438373e-10   -1.48138586e-10    2.14469352e-10
 7.70230000e+00    9.03573754e-04    1.01558457e-11   -2.75488769e-11    5.53274525e-11   -6.43737553e-11    9.34769887e-11
 7.80220000e+00    8.17669106e-04    4.34645762e-12   -1.17718469e-11    2.36896553e-11   -2.75871324e-11    4.01741707e-11
 7.90210000e+00    7.39931592e-04    1.83470055e-12   -4.96157327e-12    1.00040062e-11   -1.16595628e-11    1.70261269e-11
 8.00200000e+00    6.69584746e-04    7.63876074e-13   -2.06274179e-12    4.16682222e-12   -4.86021977e-12    7.11597385e-12
 8.10190000e+00    6.05925923e-04    3.13707910e-13   -8.45934755e-13    1.71186547e-12   -1.99823470e-12    2.93308074e-12
 8.20180000e+00    5.48319276e-04    1.27083470e-13   -3.42224159e-13    6.93721255e-13   -8.10349149e-13    1.19235480e-12
 8.30170000e+00    4.96189415e-04    5.07842729e-14   -1.36578052e-13    2.77311209e-13   -3.24153186e-13    4.78077650e-13
