terms      sum_up           sum_down         rel_diff      
   90352   1.19889793e+01   1.19886942e+01   2.37845106e-05
   91648   1.20033646e+01   1.20029354e+01   3.57534009e-05
   92944   1.20169601e+01   1.20169802e+01   1.66657321e-06
   94240   1.20305557e+01   1.20308256e+01   2.24334453e-05
   95536   1.20441513e+01   1.20444860e+01   2.77923300e-05
   96832   1.20577469e+01   1.20579615e+01   1.77955972e-05
   98128   1.20713425e+01   1.20712557e+01   7.18931415e-06
   99424   1.20849380e+01   1.20843763e+01   4.64815967e-05
  100000   1.20908508e+01   1.20901518e+01   5.78175604e-05
  107776   1.21650085e+01   1.21650391e+01   2.50863286e-06
  115552   1.22342300e+01   1.22347069e+01   3.89748966e-05
  123328   1.23009720e+01   1.22998343e+01   9.24956257e-05
  131104   1.23603296e+01   1.23609762e+01   5.23104391e-05
  138880   1.24196558e+01   1.24185982e+01   8.51609657e-05
  146656   1.24724531e+01   1.24730835e+01   5.05404023e-05
  154432   1.25243635e+01   1.25247421e+01   3.02293192e-05
  162208   1.25754261e+01   1.25738735e+01   1.23469188e-04
  169984   1.26199207e+01   1.26206923e+01   6.11334253e-05
  177760   1.26644154e+01   1.26654224e+01   7.95172964e-05
  185536   1.27089100e+01   1.27082310e+01   5.34297797e-05
  193312   1.27508659e+01   1.27492876e+01   1.23789927e-04
  201088   1.27879448e+01   1.27887344e+01   6.17470578e-05
  208864   1.28250237e+01   1.28266706e+01   1.28412226e-04
  216640   1.28621025e+01   1.28632193e+01   8.68212737e-05
  224416   1.28991814e+01   1.28984871e+01   5.38246240e-05
  232192   1.29362602e+01   1.29325523e+01   2.86668423e-04
  239968   1.29667091e+01   1.29654856e+01   9.43664199e-05
  247744   1.29963722e+01   1.29973745e+01   7.71194464e-05
  255520   1.30260353e+01   1.30282793e+01   1.72255212e-04
  263296   1.30556984e+01   1.30582666e+01   1.96695139e-04
  271072   1.30853615e+01   1.30873623e+01   1.52892666e-04
  278848   1.31150246e+01   1.31156464e+01   4.74098160e-05
  286624   1.31446877e+01   1.31431770e+01   1.14929084e-04
  294400   1.31743507e+01   1.31699343e+01   3.35288350e-04
  302176   1.32015505e+01   1.31960297e+01   4.18282318e-04
  309952   1.32237978e+01   1.32214088e+01   1.80671996e-04
  317728   1.32460451e+01   1.32461834e+01   1.04394976e-05
  325504   1.32682924e+01   1.32703495e+01   1.55024929e-04
  333280   1.32905397e+01   1.32939730e+01   2.58287793e-04
  341056   1.33127871e+01   1.33170195e+01   3.17869883e-04
  348832   1.33350344e+01   1.33395853e+01   3.41218285e-04
  356608   1.33572817e+01   1.33616209e+01   3.24805122e-04
  364384   1.33795290e+01   1.33831987e+01   2.74242513e-04
  372160   1.34017763e+01   1.34043036e+01   1.88556995e-04
  379936   1.34240236e+01   1.34249887e+01   7.18922820e-05
  387712   1.34462709e+01   1.34452381e+01   7.68145255e-05
  395488   1.34685183e+01   1.34651098e+01   2.53098609e-04
  403264   1.34907656e+01   1.34846058e+01   4.56696755e-04
  411040   1.35130129e+01   1.35037088e+01   6.88762055e-04
  418816   1.35352602e+01   1.35224295e+01   9.48398374e-04
  426592   1.35506773e+01   1.35408344e+01   7.26638886e-04
  434368   1.35655088e+01   1.35589151e+01   4.86182078e-04
  442144   1.35803404e+01   1.35766621e+01   2.70893070e-04
  449920   1.35951719e+01   1.35940742e+01   8.07436227e-05
  457696   1.36100035e+01   1.36111898e+01   8.71652373e-05
  465472   1.36248350e+01   1.36280632e+01   2.36905995e-04
  473248   1.36396666e+01   1.36446314e+01   3.63933010e-04
  481024   1.36544981e+01   1.36609745e+01   4.74192959e-04
  488800   1.36693296e+01   1.36769781e+01   5.59378474e-04
  496576   1.36841612e+01   1.36927195e+01   6.25219021e-04
  504352   1.36989927e+01   1.37082653e+01   6.76651078e-04
  512128   1.37138243e+01   1.37236223e+01   7.14210037e-04
  519904   1.37286558e+01   1.37386131e+01   7.25031190e-04
  527680   1.37434874e+01   1.37534790e+01   7.26745347e-04
  535456   1.37583189e+01   1.37681446e+01   7.13909860e-04
  543232   1.37731504e+01   1.37824850e+01   6.77506730e-04
  551008   1.37879820e+01   1.37967310e+01   6.34337426e-04
  558784   1.38028135e+01   1.38107901e+01   5.77724830e-04
  566560   1.38176451e+01   1.38245306e+01   4.98190057e-04
  574336   1.38324766e+01   1.38381739e+01   4.11790126e-04
  582112   1.38473082e+01   1.38516560e+01   3.13932396e-04
  589888   1.38621397e+01   1.38649387e+01   2.01898962e-04
  597664   1.38769712e+01   1.38779716e+01   7.20883763e-05
  605440   1.38918028e+01   1.38909388e+01   6.21989675e-05
  613216   1.39066343e+01   1.39036894e+01   2.11787992e-04
  620992   1.39214659e+01   1.39163342e+01   3.68687295e-04
  628768   1.39362974e+01   1.39287281e+01   5.43284114e-04
  636544   1.39511290e+01   1.39410629e+01   7.21781398e-04
  644320   1.39659605e+01   1.39531765e+01   9.15787939e-04
  652096   1.39807920e+01   1.39652185e+01   1.11454201e-03
  659872   1.39956236e+01   1.39770594e+01   1.32731092e-03
  667648   1.40104551e+01   1.39888020e+01   1.54669641e-03
  675424   1.40252867e+01   1.40002708e+01   1.78521557e-03
  683200   1.40401182e+01   1.40118628e+01   2.01450754e-03
  690976   1.40549498e+01   1.40230331e+01   2.27342662e-03
  698752   1.40697813e+01   1.40343571e+01   2.52092653e-03
  706528   1.40774813e+01   1.40452890e+01   2.28940672e-03
  714304   1.40848970e+01   1.40562811e+01   2.03374214e-03
  722080   1.40923128e+01   1.40671654e+01   1.78607274e-03
  729856   1.40997286e+01   1.40778103e+01   1.55572826e-03
  737632   1.41071444e+01   1.40884609e+01   1.32527272e-03
  745408   1.41145601e+01   1.40989723e+01   1.10498792e-03
  753184   1.41219759e+01   1.41092319e+01   9.02827131e-04
  760960   1.41293917e+01   1.41195469e+01   6.97001757e-04
  768736   1.41368074e+01   1.41297121e+01   5.02031180e-04
  776512   1.41442232e+01   1.41398649e+01   3.08179762e-04
  784288   1.41516390e+01   1.41497488e+01   1.33575246e-04
  792064   1.41590548e+01   1.41595640e+01   3.59665901e-05
  799840   1.41664705e+01   1.41695232e+01   2.15465290e-04
  807616   1.41738863e+01   1.41790314e+01   3.62930761e-04
  815392   1.41813021e+01   1.41885576e+01   5.11497376e-04
  823168   1.41887178e+01   1.41982050e+01   6.68417080e-04
