# Spherical Bessel functions via up and down recursion
x        down          up            gsl           rel_up_down   rel_down_gsl  rel_up_gsl   
13.800000  6.725494e-02  6.725494e-02  6.725494e-02  0.000000e+00  2.063460e-16  2.063460e-16
13.900000  6.250868e-02  6.250868e-02  6.250868e-02  3.330206e-16  5.550344e-16  8.880551e-16
14.000000  5.756311e-02  5.756311e-02  5.756311e-02  0.000000e+00  3.616323e-16  3.616323e-16
14.100000  5.243707e-02  5.243707e-02  5.243707e-02  0.000000e+00  6.616401e-17  6.616401e-17
14.200000  4.715079e-02  4.715079e-02  4.715079e-02  2.207458e-16  1.471639e-16  7.358194e-17
14.300000  4.172581e-02  4.172581e-02  4.172581e-02  2.494461e-16  0.000000e+00  2.494461e-16
14.400000  3.618485e-02  3.618485e-02  3.618485e-02  9.588120e-17  4.794060e-16  3.835248e-16
14.500000  3.055173e-02  3.055173e-02  3.055173e-02  2.838994e-16  5.677987e-17  3.406792e-16
14.600000  2.485123e-02  2.485123e-02  2.485123e-02  3.490217e-16  2.094130e-16  5.584346e-16
14.700000  1.910895e-02  1.910895e-02  1.910895e-02  3.631227e-16  7.262455e-16  3.631227e-16
14.800000  1.335119e-02  1.335119e-02  1.335119e-02  8.445466e-16  5.197210e-16  1.364268e-15
14.900000  7.604792e-03  7.604792e-03  7.604792e-03  1.824874e-15  3.022448e-15  1.197574e-15
15.000000  1.896979e-03  1.896979e-03  1.896979e-03  4.743794e-15  8.401660e-15  3.657865e-15
15.100000 -3.744800e-03 -3.744800e-03 -3.744800e-03  1.505515e-15  1.910846e-15  3.416360e-15
15.200000 -9.293040e-03 -9.293040e-03 -9.293040e-03  1.866691e-16  1.960026e-15  1.773357e-15
15.300000 -1.472035e-02 -1.472035e-02 -1.472035e-02  8.838394e-16  2.356905e-16  6.481489e-16
15.400000 -1.999963e-02 -1.999963e-02 -1.999963e-02  5.204266e-16  8.673777e-16  3.469511e-16
15.500000 -2.510425e-02 -2.510425e-02 -2.510425e-02  2.073024e-16  1.382016e-16  3.455040e-16
15.600000 -3.000821e-02 -3.000821e-02 -3.000821e-02  3.006032e-15  3.179457e-15  1.734249e-16
